DrawNumber,DrawDate,N1,N2,N3,N4,N5,N6,N7,Win,Double_Win
2770,05/03/16,1,2,7,8,9,26,2,0,1
2771,08/03/16,5,19,23,25,30,31,3,0,0
2772,12/03/16,1,5,14,21,27,30,7,0,0
2773,15/03/16,7,15,17,18,20,32,5,0,0
2774,19/03/16,6,9,17,26,27,36,6,0,0
2775,22/03/16,9,16,22,27,31,32,6,0,0
2776,26/03/16,6,10,14,15,26,36,3,1,0
2777,29/03/16,1,10,11,13,18,25,7,0,0
2778,02/04/16,3,15,26,28,32,33,4,1,0
2779,05/04/16,4,8,16,20,21,36,3,0,1
2780,09/04/16,5,8,11,20,29,36,4,0,0
2781,12/04/16,2,7,10,18,24,26,5,0,1
2782,16/04/16,7,13,19,32,35,37,6,0,0
2783,19/04/16,3,7,12,22,27,36,2,0,0
2784,23/04/16,2,5,6,14,22,32,3,0,0
2785,26/04/16,12,13,20,25,27,30,6,0,0
2786,01/05/16,2,6,8,14,29,34,3,0,0
2787,03/05/16,5,22,25,33,35,36,1,0,0
2788,07/05/16,1,9,20,25,27,31,4,0,0
2789,10/05/16,5,6,10,20,26,29,3,0,0
2790,14/05/16,13,17,20,26,35,37,2,0,0
2791,17/05/16,2,4,14,19,20,33,1,1,0
2792,21/05/16,3,5,6,13,26,29,1,0,0
2793,24/05/16,8,12,15,24,28,33,0,0
2794,28/05/16,4,6,14,22,28,29,4,0,0
2795,31/05/16,1,5,7,18,25,36,1,2,1
2796,04/06/16,5,8,17,31,32,37,7,0,0
2797,07/06/16,8,9,21,22,26,37,6,0,0
2798,12/06/16,1,20,23,24,26,32,7,0,0
2799,14/06/16,5,6,9,12,26,34,4,0,0
2800,18/06/16,12,14,16,29,32,37,5,0,0
2801,21/06/16,7,11,19,25,28,37,4,0,0
2802,25/06/16,2,12,21,23,28,31,6,0,0
2803,28/06/16,11,12,18,19,32,37,4,0,0
2804,02/07/16,3,7,10,21,33,35,2,1,0
2805,05/07/16,7,12,18,22,32,36,3,0,0
2806,09/07/16,1,2,5,16,24,34,7,0,0
2807,12/07/16,6,14,18,26,29,36,7,0,0
2808,16/07/16,4,6,15,24,31,37,4,0,0
2809,19/07/16,5,10,13,17,25,36,3,1,0
2810,23/07/16,1,9,15,20,23,28,4,1,0
2811,26/07/16,10,13,16,24,27,37,2,0,0
